Data,Descrição,Departamento,Fundação,Valor,UFSM,Departamento,Inventor
5/1/2018,AVMB - Consultoria e Assessoria em Informática Ltda.,CPD,FATEC,"R$ 38.649,53","R$ 25.766,35","R$ 12.883,18",
10/4/2018,AVMB - Consultoria e Assessoria em Informática Ltda.,CPD,FATEC,"R$ 31.769,41","R$ 21.179,61","R$ 10.589,80",
11/7/2018,AVMB - Consultoria e Assessoria em Informática Ltda.,CPD,FATEC,"R$ 33.368,98","R$ 22.245,99","R$ 11.122,99",
22/8/2018,TECNAL IND. COM. IMP. E EXP. DE EQUIP. PARA LAB LTDA,Tecnologia e Ciência Alimentos,FATEC,"R$ 2.700,00","R$ 900,00","R$ 900,00","R$ 900,00"
3/10/2018,TECNAL IND. COM. IMP. E EXP. DE EQUIP. PARA LAB LTDA,Tecnologia e Ciência Alimentos,FATEC,"R$ 300,00","R$ 100,00","R$ 100,00","R$ 100,00"
11/10/2018,AVMB - Consultoria e Assessoria em Informática Ltda.,CPD,FATEC,"R$ 32.711,63","R$ 21.807,75","R$ 10.903,88",
9/1/2019,AVMB - Consultoria e Assessoria em Informática Ltda.,CPD,FATEC,"R$ 36.722,33","R$ 24.481,55","R$ 12.240,78",
24/1/2019,TECNAL IND. COM. IMP. E EXP. DE EQUIP. PARA LAB LTDA,Tecnologia e Ciência Alimentos,FATEC,"R$ 2.400,00","R$ 800,00","R$ 800,00","R$ 800,00"
11/4/2019,AVMB - Consultoria e Assessoria em Informática Ltda.,CPD,FATEC,"R$ 29.843,78","R$ 19.895,85","R$ 9.947,93",
11/7/2019,AVMB - Consultoria e Assessoria em Informática Ltda.,CPD,FATEC,"R$ 37.921,71","R$ 25.281,14","R$ 12.640,57",
10/10/2019,AVMB - Consultoria e Assessoria em Informática Ltda.,CPD,FATEC,"R$ 31.356,53","R$ 20.904,35","R$ 10.452,18",
14/10/2019,SI Service Tecnologia da Informação Ltda,Eng. Rural,FATEC,"R$ 3.660,29","R$ 2.440,19","R$ 1.220,10",
13/1/2020,AVMB - Consultoria e Assessoria em Informática Ltda.,CPD,FATEC,"R$ 35.430,63","R$ 23.620,42","R$ 11.810,21",
14/1/2020,SI Service Tecnologia da Informação Ltda,Eng. Rural,FATEC,"R$ 4.722,67","R$ 3.148,45","R$ 1.574,22",
4/3/2020,TECNAL IND. COM. IMP. E EXP. DE EQUIP. PARA LAB LTDA,Tecnologia e Ciência Alimentos,FATEC,"R$ 5.400,00","R$ 1.800,00","R$ 1.800,00","R$ 1.800,00"
27/7/2020,AVMB - Consultoria e Assessoria em Informática Ltda.,CPD,FATEC,"R$ 33.473,79","R$ 22.315,86","R$ 11.157,93",
27/7/2020,SI Service Tecnologia da Informação Ltda,Eng. Rural,FATEC,"R$ 15.090,15","R$ 10.060,10","R$ 5.030,05",
10/8/2020,SI Service Tecnologia da Informação Ltda,Eng. Rural,FATEC,"R$ 664,08","R$ 442,72","R$ 221,36",
28/9/2020,AVMB - Consultoria e Assessoria em Informática Ltda.,CPD,FATEC,"R$ 34.548,50","R$ 23.032,33","R$ 11.516,17",
13/10/2020,SI Service Tecnologia da Informação Ltda,Eng. Rural,FATEC,"R$ 3.701,04","R$ 2.467,36","R$ 1.233,68",
25/11/2020,AVMB - Consultoria e Assessoria em Informática Ltda.,CPD,FATEC,"R$ 31.485,24","R$ 20.990,16","R$ 10.495,08",
4/12/2020,TECNAL IND. COM. IMP. E EXP. DE EQUIP. PARA LAB LTDA,CPD,FATEC,"R$ 585,00","R$ 195,00","R$ 195,00","R$ 195,00"
13/1/2021,SI Service Tecnologia da Informação Ltda,Eng. Rural,FATEC,"R$ 4.121,27","R$ 2.060,64","R$ 2.060,64",
15/1/2021,AVMB - Consultoria e Assessoria em Informática Ltda.,CPD,FATEC,"R$ 31.801,85","R$ 15.900,93","R$ 15.900,93",
